"source","avg_downloads","2021","2022","2023","2024","2025"
"dpkg","230133","207369","204737","222320","243438","272805"
"acl","230130","207367","204740","222318","243432","272797"
"pam","230129","207366","204739","222318","243431","272794"
"bzip2","230128","207365","204735","222315","243431","272794"
"coreutils","230128","207367","204742","222317","243427","272788"
"shadow","230127","207365","204741","222317","243429","272783"
"tar","230127","207368","204736","222319","243429","272786"
"util-linux","230126","207363","204738","222314","243426","272793"
"perl","230126","207363","204737","222318","243427","272789"
"zlib","230123","207365","204733","222308","243427","272783"
"apt","230119","207345","204725","222305","243427","272795"
"sed","230119","207363","204737","222308","243417","272773"
"attr","230118","207360","204726","222305","243417","272784"
"gcc-14","230118","207353","204724","222306","243426","272783"
"base-passwd","230115","207349","204726","222300","243422","272778"
"findutils","230114","207353","204726","222304","243419","272770"
"ncurses","230113","207353","204727","222304","243416","272766"
"grep","230112","207355","204725","222297","243416","272767"
"gzip","230111","207353","204723","222300","243415","272767"
"hostname","230111","207350","204725","222301","243416","272767"
"libselinux","230109","207341","204717","222296","243412","272780"
"sysvinit","230102","207333","204712","222288","243413","272767"
"glibc","230082","207317","204684","222275","243383","272755"
"bash","230075","207302","204685","222274","243389","272726"
"popt","230060","207295","204676","222243","243383","272705"
"libedit","230020","207200","204623","222226","243374","272681"
"e2fsprogs","229993","207325","204695","222264","243286","272399"
"procps","229971","207292","204649","222212","243379","272326"
"cpio","229930","207189","204578","222116","243233","272534"
"debianutils","229908","207364","204687","222113","243173","272204"
"slang2","229888","207230","204572","222101","243147","272390"
"logrotate","229888","207192","204515","222103","243174","272456"
"keyutils","229877","206972","204478","222082","243246","272608"
"expat","229837","207138","204380","222062","243146","272459"
"libcap2","229822","206873","204397","222019","243217","272608"
"lvm2","229772","206898","204402","222008","243148","272406"
"mawk","229643","206948","204317","221789","242923","272239"
"newt","229580","206914","204201","221771","242881","272135"
"iputils","229537","206796","204198","221830","242694","272169"
"sqlite3","229489","206922","204240","221748","242547","271988"
"openssh","229442","206807","204180","221684","242746","271797"
"freetype","229438","206605","204104","221708","242758","272019"
"cron","229394","206795","204026","221661","242624","271867"
"dash","229387","206218","203898","221584","242909","272330"
"diffutils","229327","206128","203826","221529","242862","272291"
"systemd","229282","206655","204089","221495","242494","271679"
"libbsd","229267","206011","203773","221454","242823","272276"
"klibc","229162","206343","203853","221436","242500","271682"
"krb5","229140","205874","203694","221418","242744","271974"
"openssl","229107","206156","203808","221354","242535","271685"
"tcp-wrappers","229025","206459","203935","221282","242302","271148"
"libgpg-error","228979","207358","204731","222312","243427","267071"
"vim","228765","206063","203415","220980","242173","271197"
"less","228662","205176","203103","220835","242327","271873"
"linux-base","228622","205360","203122","220832","242205","271593"
"pciutils","228559","205908","203063","220726","241903","271198"
"gnupg2","228528","207352","204724","222307","243431","264829"
"cyrus-sasl2","228407","206260","203449","220960","242046","269324"
"libxml2","228070","205936","203209","220887","242164","268158"
"libxdmcp","227996","205511","202706","220194","241230","270341"
"libxau","227983","205480","202699","220180","241226","270334"
"libxcb","227837","205255","202539","220030","241117","270246"
"libx11","227797","205251","202569","219851","241095","270220"
"xz-utils","227645","203515","201890","219824","241664","271334"
"dbus","227606","203628","201815","219772","241551","271265"
"libsemanage","227595","203435","201840","219784","241624","271294"
"p11-kit","227578","203470","201873","219805","241647","271095"
"kmod","227466","203284","201719","219654","241521","271152"
"grub2","227233","204555","201630","219427","240685","269870"
"libxext","227097","204686","201743","219192","240354","269510"
"gmp","226842","202280","200968","219000","241096","270867"
"file","226452","206133","202263","219172","238138","266554"
"wget","226288","204554","201512","218361","239120","267897"
"ifupdown","225715","205118","201596","218586","237587","265692"
