"package","github_repo","language","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class","git","eco_guess","license"
"ca-certificates","","c/c++","4731609","0","8734994","1721992","3966910","4502542","True","True","False","0.05149309","A","","","mpl-2.0"
"openssl@3","openssl/openssl","c/c++","3498788","0","2100095","1795303","4905531","5194224","True","True","True","0.04303474","A","https://github.com/openssl/openssl.git","","apache-2.0"
"gettext","","c/c++","2480985","0","4265090","701391","2220924","2736538","True","True","False","0.02659595","A","","","gpl-3.0-or-later and lgpl-2.1-or-later"
"xz","tukaani-project/xz","c/c++","3855986","0","7326733","1629556","3493594","2974062","True","True","True","0.02473013","A","https://github.com/tukaani-project/xz.git","","0bsd and gpl-2.0-or-later"
"readline","","c/c++","2631392","0","5191787","665401","2456947","2211435","True","True","False","0.02383505","A","","","gpl-3.0-or-later"
"libpng","","c/c++","1910764","0","3503512","630113","1627097","1882337","True","True","False","0.02223310","A","","","libpng-2.0"
"libunistring","","c/c++","1618694","0","2796245","466641","1522437","1689455","True","True","False","0.01813094","A","","","gpl-2.0-or-later or lgpl-3.0-or-later"
"xorgproto","","c/c++","1206438","0","2372469","547794","1104491","801000","True","True","False","0.01798058","A","","","mit"
"jpeg-turbo","libjpeg-turbo/libjpeg-turbo","c/c++","1803821","0","3312104","684691","1731951","1486539","True","True","True","0.01674890","A","https://github.com/libjpeg-turbo/libjpeg-turbo.git","","ijg and zlib and bsd-3-clause"
"sqlite","","c/c++","3691987","0","7562921","1353064","2871217","2980746","True","True","False","0.01484477","A","","","blessing"
"pcre2","PCRE2Project/pcre2","c/c++","2306580","0","4286414","671861","2047268","2220778","True","True","True","0.01468737","A","https://github.com/pcre2project/pcre2.git","","bsd-3-clause"
"gmp","","c/c++","1358823","0","2003502","572324","1480374","1379094","True","True","False","0.01464758","A","","","lgpl-3.0-or-later or gpl-2.0-or-later"
"zstd","facebook/zstd","c/c++","1911802","0","2946779","1064703","1751958","1883768","True","True","True","0.01367139","A","https://github.com/facebook/zstd.git","","(bsd-3-clause or gpl-2.0-only) and bsd-2-clause and mit"
"glib","","c/c++","3003625","0","4791098","1269551","3033701","2920150","True","True","False","0.01236399","A","","","lgpl-2.1-or-later"
"lz4","lz4/lz4","c/c++","1828779","0","3628846","659985","1550195","1476092","True","True","True","0.01157587","A","https://github.com/lz4/lz4.git","","bsd-2-clause"
