package,ecosystem,github_repo,git_url,valid,reason
@sinclair/typebox,npm,sinclairzx81/typebox,,,"npm registry metadata is wrong upstream: the latest @sinclair/typebox version (0.34.x) and top-level `repository` point at github.com/sinclairzx81/sinclair-typebox, an 8-star placeholder repo created 2025-12-24. The real repo is sinclairzx81/typebox (6.7k stars, created 2017, actively maintained). Older versions (0.8.x/0.9.x) still carry the correct URL."
filelock,pypi,tox-dev/filelock,,,git URL is the pre-rename name tox-dev/py-filelock; the repo was renamed to tox-dev/filelock
tomlkit,pypi,python-poetry/tomlkit,,,git URL names the original-author repo sdispater/tomlkit; the project moved to the python-poetry org
crashtest,pypi,python-poetry/crashtest,,,git URL names sdispater/crashtest; the project moved to the python-poetry org
pendulum,pypi,python-pendulum/pendulum,,,git URL names sdispater/pendulum; the project moved to the python-pendulum org
deepdiff,pypi,seperman/deepdiff,,,git URL points at the fork qlustered/deepdiff; the canonical repo is seperman/deepdiff
sphinxcontrib-httpdomain,pypi,sphinx-contrib/httpdomain,,,git URL is the placeholder github.com/me/spam; the real repo is sphinx-contrib/httpdomain
types-aiofiles,pypi,python/typeshed,,,git URL points at typeshed-internal/stub_uploader (the stub-upload tool); the 38 types-* stub packages are sourced from python/typeshed
microsoft-kiota-abstractions,pypi,microsoft/kiota-python,,,git URL names the multi-language generator repo microsoft/kiota; the Python kiota libraries live in microsoft/kiota-python
dulwich,pypi,jelmer/dulwich,,,git URL slug dulwich/dulwich redirects to jelmer/dulwich; the old field value jelmer/dulwich is the canonical name
aiodns,pypi,aio-libs/aiodns,,,git URL slug saghul/aiodns redirects to aio-libs/aiodns; the old field value aio-libs/aiodns is the canonical name
oauth2client,pypi,googleapis/oauth2client,,,git URL slug google/oauth2client redirects to googleapis/oauth2client; the old field value googleapis/oauth2client is the canonical name
webencodings,pypi,gsnedders/python-webencodings,,,git URL slug simonsapin/python-webencodings redirects to gsnedders/python-webencodings; the old field value gsnedders/python-webencodings is the canonical name
pickleshare,pypi,ipython/pickleshare,,,git URL slug pickleshare/pickleshare redirects to ipython/pickleshare; the old field value ipython/pickleshare is the canonical name
binutils,cpp,,https://sourceware.org/git/binutils-gdb.git,,"dead GitHub slug bminor/binutils-gdb (404) removed; binutils-gdb is canonically hosted at sourceware.org (verified git ls-remote OK)"
xorgproto,cpp,,https://gitlab.freedesktop.org/xorg/proto/xorgproto.git,,"dead GitHub slug freedesktop/xorg-xorgproto (404) removed; xorgproto lives on freedesktop GitLab (verified git ls-remote OK)"
libunistring,cpp,,https://git.savannah.gnu.org/git/libunistring.git,,"no GitHub repo; canonical GNU source on Savannah (replaces dead git.jff.email cgit mirror; verified ls-remote OK)"
mpfr,cpp,,https://gitlab.inria.fr/mpfr/mpfr.git,,"no GitHub repo; canonical source on gitlab.inria.fr (verified ls-remote OK)"
gnumpc,cpp,,https://gitlab.inria.fr/mpc/mpc.git,,"no GitHub repo; GNU MPC canonical source on gitlab.inria.fr (verified ls-remote OK)"
readline,cpp,,https://git.savannah.gnu.org/git/readline.git,,"no GitHub repo; canonical GNU source on Savannah (verified ls-remote OK)"
tiff,cpp,,https://gitlab.com/libtiff/libtiff.git,,"no GitHub repo; libtiff canonical source on gitlab.com (verified ls-remote OK)"
acl,cpp,,https://git.savannah.nongnu.org/git/acl.git,,"no GitHub repo; canonical source on Savannah nongnu (replaces dead git.hadrons.org Debian cgit; verified ls-remote OK)"
libgpg-error,cpp,,git://git.gnupg.org/libgpg-error.git,,"no GitHub repo; canonical GnuPG source over git:// (dev.gnupg.org smart-http is broken; verified ls-remote OK)"
isl,cpp,Meinersbur/isl,,,"no reachable canonical git source (repo.or.cz serves no smart-http); Meinersbur/isl is the maintained GitHub mirror (verified)"
docutils,pypi,docutils/docutils,,,"upstream is SourceForge SVN (no git); docutils/docutils is the official read-only Git mirror on GitHub (verified)"
performance-now,npm,myrne/performance-now,,,"npm `repository` points to braveg1rl/performance-now, a 0-byte README-only stub (single 'Create README.md' commit, 2021, GitHub size 0); the real code is myrne/performance-now (160 stars, CoffeeScript src/, not a fork). Both handles are Meryn Stol."
